Method,RMSE,MAE,R2,Pearson
SVD++,1.0588463714803096,0.7646784715750233,0.0597514839125578,0.39573865479160764
NCF,1.1860874146028264,0.8732525629077353,-0.17980476727680283,0.2999295744834365
RNN4REC,1.145618501987867,0.8427306616961789,-0.10066913780560305,0.2324032818236404
ALS,1.1101917082546389,0.8131407269338303,-0.03364809852505579,0.3929972670485961
4o_mini,1.572050263727868,1.1861602982292638,-1.0725719056815253,0.20570228743381364
Gemma3_12B,1.1903033203382243,0.8818732525629077,-0.1882068217638686,0.2599276848305002
Gemma3_4B,1.3991409959546763,1.0237651444547997,-0.6417223674494366,0.23406224929621686
