Method,RMSE,MAE,R2,Pearson
SVD++,1.089987795571773,0.7935779816513762,-0.06513988190684605,0.4360177252793092
NCF,1.089987795571773,0.8119266055045872,-0.06513988190684605,0.41820793531593126
RNN4REC,1.0293847810818537,0.7752293577981652,0.05001037559659682,0.3515852424796887
ALS,1.0622807383043698,0.7981651376146789,-0.011677262351676099,0.4526545696503148
4o_mini,1.6297126442266727,1.2798165137614679,-1.3811428248033355,0.17172665622457195
Gemma3_4B,1.4792137757928747,1.151376146788991,-0.9616668867550793,0.13219179738458575
