Method,RMSE,MAE,R2,Pearson
SVD++,1.1428019473881068,0.8301893861341626,-0.08708971708258706,0.38342413213042426
NCF,1.17643472035469,0.8630462881441657,-0.15201759197761988,0.32228799316416135
RNN4REC,1.090203269658327,0.8073731337691774,0.010676319322757477,0.3142624526617858
ALS,1.1028196377302275,0.7992994024314857,-0.01235405320845362,0.4231300215431679
4o_mini,1.7384955194183263,1.3253095554764625,-1.515768040151121,0.18609371363359362
Gemma3_4B,1.5092829168525232,1.1087612161174907,-0.8961153628387768,0.19075133623677026
