Method,RMSE,MAE,R2,Pearson
SVD++,1.1105554165971787,0.8333333333333334,0.0342856128264768,0.3665587224177954
NCF,1.292837411057002,0.9952380952380953,-0.30874806910388664,0.22494450250516618
RNN4REC,1.1932348988399242,0.9,-0.11485946627368127,0.22176409806134065
ALS,1.3504849217260901,1.042857142857143,-0.4280641323840131,0.2973418585025823
4o_mini,1.5134319246256802,1.1476190476190475,-0.7934695761794002,0.2265398500174866
Gemma3_12B,1.1892374507581378,0.8809523809523809,-0.1074022123186733,0.22293433861465267
Gemma3_4B,1.3955712262794213,1.0238095238095237,-0.5250084337991159,0.2410171277276335
